,r,g,b,eccentricity
0,0.5462962962962963,0.41203703703703703,0.041666666666666664,0.4478304813804639
1,0.5124378109452736,0.38308457711442784,0.1044776119402985,0.33287263175405973
2,0.5233050847457628,0.4088983050847458,0.06779661016949153,0.321021202537703
3,0.5882352941176471,0.36554621848739494,0.046218487394957986,0.4496968752549497
4,0.5065217391304347,0.4,0.09347826086956522,0.23289870725001152
5,0.6221374045801527,0.37786259541984735,0.0,0.2879309396973377
6,0.574468085106383,0.39893617021276595,0.026595744680851064,0.4846292899823547
7,0.5564304461942258,0.4225721784776903,0.02099737532808399,0.4104878849317349
8,0.5246636771300448,0.4170403587443946,0.05829596412556054,0.2938174730823061
9,0.5352697095435685,0.34024896265560167,0.12448132780082988,0.27100542162623525
10,0.5129682997118156,0.39481268011527376,0.09221902017291066,0.2398980617101803
11,0.5526992287917738,0.4138817480719794,0.033419023136246784,0.35868474076992024
12,0.5814814814814815,0.37037037037037035,0.04814814814814815,0.4928012847429646
13,0.4941860465116279,0.3817829457364341,0.12403100775193798,0.17141569612877458
14,0.5548780487804879,0.3719512195121951,0.07317073170731707,0.1991201705098749
15,0.6066666666666667,0.3933333333333333,0.0,0.40452197477687857
16,0.5245535714285714,0.41294642857142855,0.0625,0.34745391500098116
17,0.5487179487179488,0.4153846153846154,0.035897435897435895,0.2638460265701667
18,0.5718654434250765,0.3730886850152905,0.05504587155963303,0.412006180223201
19,0.5732484076433121,0.42356687898089174,0.0031847133757961785,0.5562038215428599
20,0.4989517819706499,0.41509433962264153,0.0859538784067086,0.569422551803485
