,r,g,b,eccentricity
0,0.7564102538079416,0.06837607038852517,0.17521367580353323,0.7383033062130878
1,0.9259259227659447,0.007407407811363781,0.0666666694226916,0.6093192311278987
2,0.7739130424367289,0.05652173835826452,0.16956521920500658,0.5996827496230585
3,0.8888888882373464,0.006172839583091052,0.10493827217956257,0.5053710074502092
4,0.8594594621795472,0.0,0.14054053782045284,0.5843712578340812
5,0.8008849523114464,0.03539823116722222,0.1637168165213314,0.42438223575553424
6,0.8550000023897154,0.005000000163272484,0.13999999744701205,0.7243639621951106
7,0.8250000035029369,0.025000000178115437,0.14999999631894761,0.5879678697468519
8,0.7380073792459697,0.08856088578994412,0.17343173496408615,0.694712879456955
9,0.8232558100797104,0.02790697642565258,0.148837213494637,0.44435337497533095
10,0.9553571418347966,0.0,0.04464285816520342,0.3867847991544739
11,0.7909836041799516,0.04098360709987682,0.16803278872017158,0.3112711029176671
12,0.7999999966224035,0.04444444472591082,0.15555555865168563,0.45056499757890806
13,0.8104265375212059,0.033175354639427196,0.15639810783936697,0.3790144660933749
14,0.777272725879207,0.04545454565081591,0.17727272846997705,0.5243436708642532
15,0.8351063868154487,0.015957446600212068,0.14893616658433922,0.510070945005666
16,0.8586956549797643,0.0,0.14130434502023573,0.4254189325680056
17,0.8268156461937384,0.03351955243519543,0.13966480137106616,0.42736371785675636
